"Date","Open","High","Low","Close","Volume"
14977,2063.68994140625,2070.09008789062,2054.830078125,2070.080078125,354100
14978,2074.56005859375,2085.13989257812,2069.1201171875,2085.13989257812,415900
14979,2083.10009765625,2087.13989257812,2076.919921875,2082.55004882812,386100
14980,2094.35009765625,2096.64990234375,2066.10009765625,2077.61010742188,407800
14981,2073.67993164062,2086.19995117188,2068.65991210938,2086.19995117188,335600
14984,2082.2900390625,2088.63989257812,2069.30004882812,2080.81005859375,342600
14985,2079.85009765625,2088.32006835938,2059.669921875,2088.32006835938,410900
14986,2091.69995117188,2098,2085.98999023438,2094.94995117188,433300
14987,2097.0400390625,2109.34008789062,2083.80004882812,2089.47998046875,424200
14988,2089.69995117188,2108.169921875,2076.43994140625,2108.169921875,424700
14991,2112.3701171875,2118.86010742188,2099.84008789062,2099.85009765625,428400
14992,2095.85009765625,2111.39990234375,2093.32006835938,2096.47998046875,454900
14993,2106.53002929688,2119.23999023438,2084.080078125,2115.68994140625,425500
14994,2111.40991210938,2114.19995117188,2102.61010742188,2106.65991210938,335500
14995,2103.73999023438,2104.38989257812,2066.82006835938,2069.919921875,395400
14998,2067.32006835938,2082.96997070312,2064,2082.15991210938,340200
14999,2092.27001953125,2105.330078125,2083.80004882812,2086.669921875,421000
15000,2093.59008789062,2112.330078125,2092.40991210938,2110.4599609375,369400
15001,2115.0400390625,2121.06005859375,2108.53002929688,2115.01000976562,358900
15002,2115.68994140625,2119.48999023438,2095.36010742188,2107.8701171875,413000
15005,2080.60009765625,2089.71997070312,2069.72998046875,2069.72998046875,320900
15006,2079.919921875,2086.56005859375,2071.72998046875,2072.03002929688,290800
15012,2102.76000976562,2107.830078125,2081.72998046875,2081.73999023438,285900
15013,2090.46997070312,2092.42993164062,2066.7099609375,2069.69995117188,300300
15014,2077.1201171875,2077.1201171875,2037.30004882812,2045.57995605469,333200
15015,2041.06994628906,2043.06994628906,2008.5,2008.5,309800
15016,2010.2900390625,2021.42004394531,1975.46997070312,1977.18994140625,317300
15019,1999.08996582031,2015.83996582031,1986.93994140625,2014.58996582031,279500
15020,2018.40002441406,2029.98999023438,2003.57995605469,2010.52001953125,275000
15021,2007.07995605469,2021.68994140625,1989.10998535156,1989.10998535156,297600
15022,2002,2006.58996582031,1959.7099609375,1977.21997070312,340300
15023,1989.23999023438,2015.78002929688,1981.75,2013.14001464844,494000
15026,2014.15002441406,2014.97998046875,1991.69995117188,2005.30004882812,324200
15027,1978.33996582031,1982.69995117188,1958.77001953125,1969.92004394531,346100
15028,1962.69995117188,1977.98999023438,1951.75,1961.63000488281,308600
15029,1957.63000488281,1970.66003417969,1945.41003417969,1949.88000488281,281600
15030,1956.02001953125,1965.47998046875,1941.15002441406,1963.43005371094,306900
15033,1954.40002441406,1958.58996582031,1935.93005371094,1939.30004882812,263900
15035,1922.38000488281,1940.78002929688,1921.33996582031,1928.23999023438,207700
15036,1942.23999023438,1970.66003417969,1941.22998046875,1970.66003417969,284800
15037,1989.88000488281,2008.89001464844,1984.15002441406,2004.68005371094,334600
15040,1996.47998046875,2005.43005371094,1978.13000488281,1980.27001953125,255900
15041,1984.07995605469,2007.23999023438,1974.72998046875,1996.31994628906,304800
15042,2007.7900390625,2016.68005371094,1991.52001953125,2001.46997070312,315400
15043,1999.38000488281,2001.27001953125,1973.88000488281,1981.57995605469,288400
15044,1956.33996582031,1970.69995117188,1949.31994628906,1955.5400390625,267200
15047,1949.07995605469,1971.22998046875,1928.98999023438,1971.22998046875,388600
15048,1966.81994628906,1985.81994628906,1882.08996582031,1923.92004394531,403900
15049,1951.68005371094,1965.15002441406,1931.38000488281,1957.96997070312,284400
15050,1921.58996582031,1961.08996582031,1919.13000488281,1959.03002929688,305700
15051,1963.17004394531,1988.0400390625,1960.48999023438,1981.13000488281,291300
15054,1985.46997070312,2005.31994628906,1985.15002441406,2003.42004394531,292300
15055,2012.47998046875,2016.27001953125,2004.35998535156,2013.66003417969,304100
15056,2019.18005371094,2022.14001464844,2005.58996582031,2012.18005371094,312600
15057,2022.26000976562,2036.93005371094,2022.07995605469,2036.78002929688,295500
15058,2058.35009765625,2060.2900390625,2041.71997070312,2054.0400390625,311200
15061,2054.28002929688,2059.919921875,2043.98999023438,2056.38989257812,285400
15062,2052.8701171875,2072.1298828125,2050.09008789062,2072.1298828125,250500
15063,2075.90991210938,2100.19995117188,2074.26000976562,2091.3798828125,316900
15064,2098.09008789062,2106.73999023438,2089.1201171875,2106.69995117188,317900
15065,2107.669921875,2121.02001953125,2101.830078125,2121.01000976562,337900
